ID	ALIGNMENT	COGID	COGIDS	CONCEPT	DOCULECT	FORM	TOKENS	VALUE	MORPHEMES	NOTE
2864	p.j u.ʔ ²¹	316	3763	vomit (v.)	SouthernPwo	pjuɁ²¹	p.j u.ʔ ²¹	pjuɁ²¹		
2865	l ɔ̃ ⁵³ + k a.ʔ ²¹ + tʰ a.ʔ ⁴⁵	317	3775 3777 3776	vulture	SouthernPwo	lɔ̃⁵³kaɁ²¹thaɁ⁴⁵	l ɔ̃ ⁵³ + k a.ʔ ²¹ + tʰ a.ʔ ⁴⁵	lɔ̃⁵³kaɁ²¹thaɁ⁴⁵		
2866	j ɑ̃ ³³ + d i ɦ.³¹	318	3804 2413	waist	SouthernPwo	jɑ̃³³di³¹̈	j ɑ̃ ³³ + d i ɦ.³¹	jɑ̃³³di³¹ ̈	waist/ja navel	
2867	tʰ ɔu.ʔ ³¹	319	3831	wart	SouthernPwo	thɔuɁ³¹	tʰ ɔu.ʔ ³¹	thɔuɁ³¹		
2868	l !ə/ɔ̃ Ø/ɦ.³¹	320	3818	warm	SouthernPwo	lə³¹̈	l !ə/ɔ̃ Ø/ɦ.³¹	lə³¹ ̈		
2869	pʰ.l a ³³	321	3850	wash (the face)	SouthernPwo	phla³³	pʰ.l a ³³	phla³³	wash	
2870	tʰ ə̃ ³³ + d i ɦ.³¹	323	3862 2413	wasp	SouthernPwo	thə̃³³di³¹̈	tʰ ə̃ ³³ + d i ɦ.³¹	thə̃³³di³¹ ̈	wasp navel	
2871	tʰ ei ⁵³	324	3878	water	SouthernPwo	thei⁵³	tʰ ei ⁵³	thei⁵³		
2872	cʰ.w ãi ⁵³	325	3891	wear (a shoulder bag)	SouthernPwo	chwãi⁵³	cʰ.w ãi ⁵³	chwãi⁵³		
2873	tʰ a ⁵⁵	326	3916	weave (cloth), loom	SouthernPwo	tha⁵⁵	tʰ a ⁵⁵	tha⁵⁵		
2874	tʰ ãi ⁵³	327	3903	weave (baskets)	SouthernPwo	thãi⁵³	tʰ ãi ⁵³	thãi⁵³		
2875	β õu ³³	328	3929	weevil	SouthernPwo	βõu³³	β õu ³³	βõu³³		
2876	c o ⁵⁵	329	3938	wet	SouthernPwo	co⁵⁵	c o ⁵⁵	co⁵⁵		
2877	k.w a Ø/ɦ.³¹	330	3951	white	SouthernPwo	kwa³¹̈	k.w a Ø/ɦ.³¹	kwa³¹ ̈		
2878	l ɛ ³³	331	3963	wide	SouthernPwo	lɛ³³	l ɛ ³³	lɛ³³		
2879	m a ⁵³	332	3977	wife	SouthernPwo	ma⁵³	m a ⁵³	ma⁵³		
2880	m ei ɦ.³¹	333	316	wild	SouthernPwo	mei³¹̈	m ei ɦ.³¹	mei³¹ ̈	wild	
2881	n ə̃ɨ ɦ.³¹	334	4002	win	SouthernPwo	nə̃ɨ³¹̈	n ə̃ɨ ɦ.³¹	nə̃ɨ³¹ ̈		
2882	d ai.ʔ ³¹	335	4012	wing	SouthernPwo	daiɁ³¹	d ai.ʔ ³¹	daiɁ³¹		
2883	m a ⁵⁵	336	4025	wrong, mistake, error	SouthernPwo	ma⁵⁵	m a ⁵⁵	ma⁵⁵		
2884	n ɛ ⁵⁵	337	4039	yam, potato	SouthernPwo	nɛ⁵⁵	n ɛ ⁵⁵	nɛ⁵⁵		
2885	n ɛĩ ⁵⁵	338	4051	year	SouthernPwo	nɛĩ_⁵⁵	n ɛĩ ⁵⁵	nɛĩ ⁵⁵		
2886	b ɔ̃ Ø/ɦ.³¹	339	4064	yellow	SouthernPwo	bɔ̃³¹̈	b ɔ̃ Ø/ɦ.³¹	bɔ̃³¹ ̈		
2887	m.w ɛ ³³	340	4074	yes	SouthernPwo	mwɛ³³	m.w ɛ ³³	mwɛ³³		
2888	l ɔu ¹¹	1	10	all, all gone, whole	SouthernSgaw	lɔu¹¹	l ɔu ¹¹	lɔu¹¹		
2889	t ə ³¹	2	21	ant	SouthernSgaw	tə³¹	t ə ³¹	tə³¹		
2890	t ɨ ⁴⁵	3	33	arrive	SouthernSgaw	tɨ⁴⁵’	t ɨ ⁴⁵	tɨ⁴⁵’		
2891	p.l a ³¹	4	46	arrow, dart	SouthernSgaw	pla³¹	p.l a ³¹	pla³¹	arrow	
2892	tʰ ɔ ⁴⁵	5	59	ascend, go up, rise	SouthernSgaw	thɔ⁴⁵’	tʰ ɔ ⁴⁵	thɔ⁴⁵’		
2893	pʰ a ⁴⁵	6	72	ashes, fireplace	SouthernSgaw	pha⁴⁵’	pʰ a ⁴⁵	pha⁴⁵’		
2894	k ai.ʔ ²¹	7	81	astringent	SouthernSgaw	kaiɁ²¹	k ai.ʔ ²¹	kaiɁ²¹		
2895	w a ⁴⁵	8	91	bamboo	SouthernSgaw	wa⁴⁵’	w a ⁴⁵	wa⁴⁵’		
2896	kʰ ɔ ⁵⁵	9	103	bamboo rat	SouthernSgaw	khɔ⁵⁵	kʰ ɔ ⁵⁵	khɔ⁵⁵	bamboo-rat	
2897	ɕ.ɣ a ⁵⁵	10	126	bamboo strip	SouthernSgaw	ɕɣa⁵⁵	ɕ.ɣ a ⁵⁵	ɕɣa⁵⁵		
2898	b ɔ ⁴⁵	11	114	bamboo shoot	SouthernSgaw	bɔ⁴⁵’	b ɔ ⁴⁵	bɔ⁴⁵’		
2899	pʰ ai.ʔ ²¹	12	138	bark (n.), leather, skin	SouthernSgaw	phaiɁ²¹	pʰ ai.ʔ ²¹	phaiɁ²¹		
2900	b.l a ⁵⁵	13	149	bat	SouthernSgaw	bla⁵⁵	b.l a ⁵⁵	bla⁵⁵		
2901	l ɨ ⁴⁵	14	161	bathe	SouthernSgaw	lɨ⁴⁵’	l ɨ ⁴⁵	lɨ⁴⁵’		
2902	x ɔ ³³	16	185	bedbug	SouthernSgaw	xɔ³³	x ɔ ³³	xɔ³³		
2903	k.w ɛ ⁵⁵	17	191	bee (Apis cerana)	SouthernSgaw	kwɛ⁵⁵	k.w ɛ ⁵⁵	kwɛ⁵⁵		
2904	n ɛ ⁵⁵	18	203	bee (Apis dorsata)	SouthernSgaw	nɛ⁵⁵	n ɛ ⁵⁵	nɛ⁵⁵		
2905	k a ¹¹ + l a.!Ø/ʔ Ø/ɦ.¹¹	20	227 224	below, under, underneath	SouthernSgaw	ka¹¹la¹¹̈	k a ¹¹ + l a.!Ø/ʔ Ø/ɦ.¹¹	ka¹¹la¹¹ ̈		
2906	d u ⁴⁵	21	242	big, large	SouthernSgaw	du⁴⁵’	d u ⁴⁵	du⁴⁵’		
2907	tʰ u ⁴⁵	22	253	bird	SouthernSgaw	thu⁴⁵’	tʰ u ⁴⁵	thu⁴⁵’		
2908	ʔ i ⁴⁵	23	264	bite (v.)	SouthernSgaw	Ɂi⁴⁵’	ʔ i ⁴⁵	Ɂi⁴⁵’		
2909	kʰ a ⁴⁵	24	275	bitter	SouthernSgaw	kha⁴⁵’	kʰ a ⁴⁵	kha⁴⁵’		
2910	s.w i ⁴⁵	25	288	blood	SouthernSgaw	swi⁴⁵’	s.w i ⁴⁵	swi⁴⁵’		
2911	ʔ u ⁵⁵	26	302	blow (a fire)	SouthernSgaw	Ɂu⁵⁵	ʔ u ⁵⁵	Ɂu⁵⁵		
2912	tʰ ɔ.ʔ ²¹ + m i ³³	27	315 316	boar (wild~)	SouthernSgaw	thɔɁ²¹mi³³	tʰ ɔ.ʔ ²¹ + m i ³³	thɔɁ²¹mi³³	pig wild	
2913	kʰ.l i ⁵⁵	28	336	boat	SouthernSgaw	khli⁵⁵	kʰ.l i ⁵⁵	khli⁵⁵	boat	
2914	x i ⁴⁵	29	348	body dirt	SouthernSgaw	xi⁴⁵’	x i ⁴⁵	xi⁴⁵’		
2915	pʰ ɔ ⁵⁵	30	359	boil (v.)	SouthernSgaw	phɔ⁵⁵	pʰ ɔ ⁵⁵	phɔ⁵⁵		
2916	x i ⁵⁵	31	370	bone	SouthernSgaw	xi⁵⁵	x i ⁵⁵	(ta¹¹)xi⁵⁵		
2917	kʰ u.ʔ ⁴⁵ + n ɔu ɦ.¹¹	33	17 394	brain	SouthernSgaw	nɔ¹¹̈	kʰ u.ʔ ⁴⁵ + n ɔu ɦ.¹¹	(khu⁴⁵’)nɔ¹¹ ̈		
2918	pʰ e ⁵⁵	34	408	bran,chaff	SouthernSgaw	phe⁵⁵	pʰ e ⁵⁵	phe⁵⁵		
2919	n u ³¹	35	420	breasts	SouthernSgaw	nu³¹	n u ³¹	nu³¹		
2920	pʰ a.ʔ ²¹	36	431	broken, split, separate	SouthernSgaw	phaɁ²¹	pʰ a.ʔ ²¹	phaɁ²¹		
2921	p ə ¹¹ + n a ³¹	37	444 445	buffalo	SouthernSgaw	pə¹¹na³¹	p ə ¹¹ + n a ³¹	pə¹¹na³¹		
2922	p.ɣ e ³³	38	469	buy	SouthernSgaw	pɣe³³	p.ɣ e ³³	pɣe³³		
2923	pʰ u ⁵⁵	39	495	caress	SouthernSgaw	phu⁵⁵	pʰ u ⁵⁵	phu⁵⁵		
2924	pʰ ɨ ⁴⁵	40	506	carry (on the back)	SouthernSgaw	phɨ⁴⁵’	pʰ ɨ ⁴⁵	phɨ⁴⁵’		
2925	s ai.ʔ ²¹	41	514	caterpillar	SouthernSgaw	saiɁ²¹	s ai.ʔ ²¹	saiɁ²¹		
2926	k u ⁴⁵	42	527	catfish	SouthernSgaw	ku⁴⁵’	k u ⁴⁵	ku⁴⁵’		
2927	k ɨ ⁵⁵	43	483	carapace, shell	SouthernSgaw	kɨ⁵⁵	k ɨ ⁵⁵	kɨ⁵⁵		
2928	d a.!Ø/ʔ ¹¹ + b ɔ ⁵⁵	44	537 538	centipede	SouthernSgaw	da¹¹bɔ⁵⁵	d a.!Ø/ʔ ¹¹ + b ɔ ⁵⁵	da¹¹bɔ⁵⁵		
2929	kʰ.w i ⁴⁵	45	555	chameleon	SouthernSgaw	khwi⁴⁵’	kʰ.w i ⁴⁵	khwi⁴⁵’		
2930	s.w a ⁴⁵	46	567	charcoal	SouthernSgaw	swa⁴⁵’	s.w a ⁴⁵	swa⁴⁵’		
2931	cʰ ɔ ⁵⁵	47	579	chicken	SouthernSgaw	chɔ⁵⁵	cʰ ɔ ⁵⁵	chɔ⁵⁵	chicken	
2932	h ɛ ⁵⁵	48	592	chili pepper, pungent	SouthernSgaw	hɛ⁵⁵	h ɛ ⁵⁵	hɛ⁵⁵		
2933	kʰ a ⁴⁵	49	603	chin, jaw	SouthernSgaw	kha⁴⁵’	kʰ a ⁴⁵	kha⁴⁵’		
2934	s i ⁴⁵	52	646	classifier (hand of bananas)	SouthernSgaw	si⁴⁵’	s i ⁴⁵	si⁴⁵’		
2935	b i ⁴⁵	53	666	classifier for flat objects	SouthernSgaw	bi⁴⁵’	b i ⁴⁵	bi⁴⁵’		
2936	!Ø/p.ɣ a ³³	54	696	classifier for people, persons	SouthernSgaw	ɣa³³	!Ø/p.ɣ a ³³	ɣa³³		
2937	Ø/b.l u ⁴⁵	55	656	classifier for a piece of meat, cake, etc.	SouthernSgaw	lu⁴⁵’	Ø/b.l u ⁴⁵	lu⁴⁵’		
2938	kʰ u ⁴⁵	56	709	classifier for plants, e.g. bamboo, rice, banana etc. (clumps, clusters)	SouthernSgaw	khu⁴⁵’	kʰ u ⁴⁵	khu⁴⁵’		
2939	pʰ.l ɨ ⁴⁵	57	634	classfier for round objects	SouthernSgaw	phlɨ⁴⁵’	pʰ.l ɨ ⁴⁵	phlɨ⁴⁵’		
2940	b u ⁵⁵	58	686	classifier for long objects	SouthernSgaw	bu⁵⁵	b u ⁵⁵	bu⁵⁵	neck-classifier	
2941	d ɨ ⁵⁵	59	677	classifier for four-legged animals	SouthernSgaw	dɨ⁵⁵	d ɨ ⁵⁵	dɨ⁵⁵		
2942	b i ⁴⁵	60	716	close (one’s eyes)	SouthernSgaw	bi⁴⁵’	b i ⁴⁵	bi⁴⁵’		
2943	kʰ.w i ⁵⁵	61	725	comb (v.)	SouthernSgaw	khwi⁵⁵	kʰ.w i ⁵⁵	khwi⁵⁵		
2944	l ɨ ⁴⁵	62	737	cotton thread	SouthernSgaw	lɨ⁴⁵’	l ɨ ⁴⁵	lɨ⁴⁵’		
2945	!k/kʰ ɔu.ʔ ²¹	63	750	cough (v.)	SouthernSgaw	kɔuɁ²¹	!k/kʰ ɔu.ʔ ²¹	kɔuɁ²¹		
2946	cʰ.w ɛ ⁴⁵	64	763	crab	SouthernSgaw	chwɛ⁴⁵’	cʰ.w ɛ ⁴⁵	chwɛ⁴⁵’		
2947	t ə ¹¹ + k i ⁵⁵	65	778 776	cricket	SouthernSgaw	tə¹¹ki⁵⁵	t ə ¹¹ + k i ⁵⁵	tə¹¹ki⁵⁵		
2948	m a ⁴⁵	66	788	crocodile	SouthernSgaw	ma⁴⁵’	m a ⁴⁵	ma⁴⁵’		
2949	n i ⁵⁵	67	801	crop (of fowl), gizzard	SouthernSgaw	ni⁵⁵	n i ⁵⁵	ni⁵⁵		
2950	kʰ ɔ ⁵⁵	68	815	cross (v.)	SouthernSgaw	khɔ⁵⁵	kʰ ɔ ⁵⁵	khɔ⁵⁵		
2951	kʰ.l i ⁴⁵	69	823	crossbow	SouthernSgaw	khli⁴⁵’	kʰ.l i ⁴⁵	khli⁴⁵’		
2952	ʔ u ⁵⁵	70	835	crow (v.)	SouthernSgaw	Ɂu⁵⁵	ʔ u ⁵⁵	Ɂu⁵⁵		
2953	n u ⁴⁵	71	848	crush (v.)	SouthernSgaw	nu⁴⁵’	n u ⁴⁵	nu⁴⁵’		
2954	d i ⁵⁵	72	859	cucumber	SouthernSgaw	di⁵⁵	d i ⁵⁵	di⁵⁵		
2955	kʰ ai.ʔ ²¹	73	870	dark, late evening	SouthernSgaw	khaiɁ²¹	kʰ ai.ʔ ²¹	khaiɁ²¹		
2956	d ɛ ⁴⁵	74	883	daughter-in-law	SouthernSgaw	dɛ⁴⁵’	d ɛ ⁴⁵	dɛ⁴⁵’		
2957	n i ³³	75	894	day	SouthernSgaw	ni³³	n i ³³	ni³³		
2958	s i ⁵⁵	76	906	dead,die	SouthernSgaw	si⁵⁵	s i ⁵⁵	si⁵⁵		
2959	ʔ ə ⁵⁵	77	918	deaf	SouthernSgaw	Ɂə⁵⁵	ʔ ə ⁵⁵	Ɂə⁵⁵		
2960	j o ɦ.¹¹	78	930	deep	SouthernSgaw	jo¹¹̈	j o ɦ.¹¹	jo¹¹ ̈		
2961	tʰ ɔ ³³ + x ɔ ⁵⁵	80	954 19	deer (sambha ~)	SouthernSgaw	thɔ³³xɔ⁵⁵	tʰ ɔ ³³ + x ɔ ⁵⁵	thɔ³³xɔ⁵⁵		
2962	l ɔ ³³	82	979	descent, go down, set	SouthernSgaw	lɔ³³	l ɔ ³³	lɔ³³		
2963	kʰ u ⁴⁵	83	992	dig	SouthernSgaw	khu⁴⁵’	kʰ u ⁴⁵	khu⁴⁵’		
2964	d ɨ ⁴⁵	84	1003	dip up	SouthernSgaw	dɨ⁴⁵’	d ɨ ⁴⁵	dɨ⁴⁵’		
2965	tʰ ɔ ⁵⁵	85	1	Dipterocarpus tuberculatus Roxb	SouthernSgaw	thɔ⁵⁵	tʰ ɔ ⁵⁵	thɔ⁵⁵		
2966	m a ³¹	86	1013	disappear, lost	SouthernSgaw	ma³¹	m a ³¹	ma³¹		
2967	tʰ.w i ⁴⁵	87	1040	dog	SouthernSgaw	thwi⁴⁵’	tʰ.w i ⁴⁵	thwi⁴⁵’	dog	
2968	m a ³³	88	1027	do, make	SouthernSgaw	ma³³	m a ³³	ma³³		
2969	l.w i ³¹	89	1053	dove	SouthernSgaw	lwi³¹	l.w i ³¹	lwi³¹		
2970	m ɔ ³¹	90	1065	dream (v.)	SouthernSgaw	mɔ³¹	m ɔ ³¹	mɔ³¹	dream	
2971	ʔ ɔ ⁵⁵	91	1080	drink(v.)	SouthernSgaw	Ɂɔ⁵⁵	ʔ ɔ ⁵⁵	Ɂɔ⁵⁵		
2972	l !ɔ/u ⁵⁵	92	1104	dry(v.)	SouthernSgaw	lɔ⁵⁵	l !ɔ/u ⁵⁵	lɔ⁵⁵		
2973	m u ³³	93	1091	drunk	SouthernSgaw	mu³³	m u ³³	mu³³		
2974	ʔ e ⁴⁵	94	1116	dung, excrement	SouthernSgaw	Ɂe⁴⁵’	ʔ e ⁴⁵	Ɂe⁴⁵’		
2975	n a ³¹	95	1129	ear	SouthernSgaw	na³¹	n a ³¹	na³¹	ear	
2976	ɲ ɔ ⁵⁵	97	1150	easy	SouthernSgaw	ɲɔ⁵⁵	ɲ ɔ ⁵⁵	ɲɔ⁵⁵		
2977	ʔ ɔ ⁴⁵	98	1160	eat	SouthernSgaw	Ɂɔ⁴⁵’	ʔ ɔ ⁴⁵	Ɂɔ⁴⁵’		
2978	d i ⁴⁵	99	1173	egg	SouthernSgaw	di⁴⁵’	d i ⁴⁵	di⁴⁵’		
2979	k ɔ ³³	100	1186	eggplant	SouthernSgaw	kɔ³³	k ɔ ³³	kɔ³³		
2980	x o.ʔ ²¹	101	1195	eight	SouthernSgaw	xoɁ²¹	x o.ʔ ²¹	xoɁ²¹		
2981	k ə ¹¹ + cʰ ɔ ⁵⁵	102	1209 1207	elephant	SouthernSgaw	kə¹¹chɔ⁵⁵	k ə ¹¹ + cʰ ɔ ⁵⁵	kə¹¹chɔ⁵⁵		
2982	pʰ o.ʔ ²¹	103	1226	embrace, hug	SouthernSgaw	phoɁ²¹	pʰ o.ʔ ²¹	phoɁ²¹		
2983	n əu ɦ.¹¹	104	1237	enter	SouthernSgaw	nəu¹¹̈	n əu ɦ.¹¹	nəu¹¹ ̈		
2984	p ai ɦ.¹¹	106	1255	extinguish (t.v.)	SouthernSgaw	pai¹¹̈	p ai ɦ.¹¹	pai¹¹ ̈		
2985	m ɛ ɦ.¹¹	107	1268	eye, face	SouthernSgaw	mɛ¹¹̈	m ɛ ɦ.¹¹	mɛ¹¹ ̈		
2986	t ɛ Ø/ɦ.¹¹	108	1277	fall down	SouthernSgaw	tɛ¹¹̈	t ɛ Ø/ɦ.¹¹	tɛ¹¹ ̈		
2987	b ɔ ⁴⁵	109	1290	fat (adj)	SouthernSgaw	bɔ⁴⁵’	b ɔ ⁴⁵	bɔ⁴⁵’		
2988	cʰ u ⁴⁵	110	1301	feather, fur, body hair	SouthernSgaw	chu⁴⁵’	cʰ u ⁴⁵	chu⁴⁵’		
2989	m ɨ ⁴⁵	112	1337	female, woman	SouthernSgaw	mɨ⁴⁵’	m ɨ ⁴⁵	mɨ⁴⁵’		
2990	m u ³¹	113	1323	female (humans), mother	SouthernSgaw	mu³¹	m u ³¹	mu³¹		
2991	m e ⁴⁵	114	1350	fire	SouthernSgaw	me⁴⁵’	m e ⁴⁵	me⁴⁵’		
2992	j ɛ ³¹	116	1372	five	SouthernSgaw	jɛ³¹	j ɛ ³¹	jɛ³¹		
2993	ɣ əɨ̯ ¹¹	117	1385	flank, rib	SouthernSgaw	ɣəɨ̯¹¹̈	ɣ əɨ̯ ¹¹	ɣəɨ̯ ¹¹ ̈		
2994	!k/kʰ.l i ⁵⁵	119	6	flea	SouthernSgaw	kli⁵⁵	!k/kʰ.l i ⁵⁵	kli⁵⁵		
2995	ɲ a ⁴⁵	120	1422	flesh, meat	SouthernSgaw	ɲa⁴⁵’	ɲ a ⁴⁵	ɲa⁴⁵’		
2996	pʰ ɔ ⁵⁵	121	1432	flower	SouthernSgaw	phɔ⁵⁵	pʰ ɔ ⁵⁵	phɔ⁵⁵		
2997	p i ³³	122	1455	forget	SouthernSgaw	pi³³	p i ³³	pi³³		
2998	k.l a ⁵⁵	123	1443	forest, jungle	SouthernSgaw	kla⁵⁵	k.l a ⁵⁵	kla⁵⁵		
2999	l.w i ³¹	124	1464	four	SouthernSgaw	lwi³¹	l.w i ³¹	lwi³¹		
3000	tʰ.w i ⁴⁵ + m i ³³	125	1040 316	fox, wolf	SouthernSgaw	thwi⁴⁵’mi³³	tʰ.w i ⁴⁵ + m i ³³	thwi⁴⁵’mi³³	dog wild	
3001	d e ⁴⁵	126	1498	frog	SouthernSgaw	de⁴⁵’	d e ⁴⁵	de⁴⁵’	frog	
3002	ɲ a ⁵⁵	127	1511	front	SouthernSgaw	ɲa⁵⁵	ɲ a ⁵⁵	ɲa⁵⁵		
3003	s a ⁴⁵	128	1519	fruit	SouthernSgaw	sa⁴⁵’	s a ⁴⁵	sa⁴⁵’		
3004	ʔ i ⁵⁵	130	1539	ginger	SouthernSgaw	Ɂi⁵⁵	ʔ i ⁵⁵	Ɂi⁵⁵		
3005	l ɛ ³³	131	1554	go	SouthernSgaw	lɛ³³	l ɛ ³³	lɛ³³		
3006	d.w ɛ ⁴⁵	132	1577	grasshopper	SouthernSgaw	dwɛ⁴⁵’	d.w ɛ ⁴⁵	dwɛ⁴⁵’		
3007	l i ³³	133	1565	grandchild	SouthernSgaw	li³³	l i ³³	li³³		
3008	l u ³³	134	1588	great-grandchild	SouthernSgaw	lu³³	l u ³³	lu³³		
3009	l a ³³	135	1599	great-great-gandchild	SouthernSgaw	la³³	l a ³³	la³³		
3010	kʰ u ⁴⁵ + s u ⁵⁵	136	1611 7	hair (head~)	SouthernSgaw	khu⁴⁵’su⁵⁵	kʰ u ⁴⁵ + s u ⁵⁵	khu⁴⁵’su⁵⁵	*khuB hair/su	
3011	t u ³¹	137	1632	handle	SouthernSgaw	tu³¹	t u ³¹	tu³¹		
3012	l ai Ø/ɦ.¹¹	139	1664	hawk, eagle	SouthernSgaw	lai¹¹̈	l ai Ø/ɦ.¹¹	lai¹¹ ̈		
3013	ʔ u ⁴⁵	140	1652	have, be, exist, stay, there is	SouthernSgaw	Ɂu⁴⁵’	ʔ u ⁴⁵	Ɂu⁴⁵’	exist	
3014	s a.ʔ ²¹	142	1687	heart	SouthernSgaw	saɁ²¹	s a.ʔ ²¹	saɁ²¹		
3015	ɕ.ɣ ɔ ⁴⁵	144	1708	hemp	SouthernSgaw	ɕɣɔ⁴⁵’	ɕ.ɣ ɔ ⁴⁵	ɕɣɔ⁴⁵’		
3016	k ɔ ³¹	145	1720	hip	SouthernSgaw	kɔ³¹	k ɔ ³¹	kɔ³¹		
3017	n !ə/ɨ ³³	147	1742	horn	SouthernSgaw	nə³³	n !ə/ɨ ³³	nə³³		
3018	pʰ.l ɨ ⁵⁵	148	1755	hornet	SouthernSgaw	phlɨ⁵⁵	pʰ.l ɨ ⁵⁵	phlɨ⁵⁵		
3019	k ə ¹¹ + s e ⁴⁵	149	1768 1767	horse	SouthernSgaw	kə¹¹se⁴⁵’	k ə ¹¹ + s e ⁴⁵	kə¹¹se⁴⁵’		
3020	k ə ¹¹ + j a ³³	150	1787 1786	hundred	SouthernSgaw	kə¹¹ja³³	k ə ¹¹ + j a ³³	kə¹¹ja³³		
3021	w a ³³	151	1803	husband	SouthernSgaw	wa³³	w a ³³	wa³³		
3022	cʰ a ⁵⁵	152	1815	ill, painful, sick	SouthernSgaw	cha⁵⁵	cʰ a ⁵⁵	cha⁵⁵		
3023	x a ³¹	153	1829	insect	SouthernSgaw	xa³¹	x a ³¹	xa³¹	insect	
3024	p.ɣ ai Ø/ɦ.¹¹	154	1840	intestines	SouthernSgaw	pɣai¹¹̈	p.ɣ ai Ø/ɦ.¹¹	pɣai¹¹ ̈		
3025	tʰ a.ʔ ²¹	155	1853	iron	SouthernSgaw	thaɁ²¹	tʰ a.ʔ ²¹	thaɁ²¹		
3026	s a.ʔ ²¹	156	1866	itchy	SouthernSgaw	saɁ²¹	s a.ʔ ²¹	saɁ²¹		
3027	k ə ¹¹ + l e ³¹	157	1879 1878	kidney	SouthernSgaw	kə¹¹le³¹	k ə ¹¹ + l e ³¹	kə¹¹le³¹		
3028	l a ⁴⁵	158	1894	leaf	SouthernSgaw	la⁴⁵’	l a ⁴⁵	la⁴⁵’		
3029	s !ɔu/a.ʔ ²¹	159	1907	leech (land~)	SouthernSgaw	sɔuɁ²¹	s !ɔu/a.ʔ ²¹	sɔuɁ²¹		
3030	t ə ¹¹ + l i ³³	160	1923 1921	leech (water~)	SouthernSgaw	tə¹¹li³³	t ə ¹¹ + l i ³³	tə¹¹li³³		
3031	c e ⁴⁵	161	1934	left (side)	SouthernSgaw	ce⁴⁵’	c e ⁴⁵	ce⁴⁵’		
3032	kʰ ɔ ⁴⁵	162	1947	leg	SouthernSgaw	khɔ⁴⁵’	kʰ ɔ ⁴⁵	khɔ⁴⁵’		
3033	p.l ai Ø/ɦ.¹¹	163	1959	lemur (flying~), flying squirrel	SouthernSgaw	plai¹¹̈	p.l ai Ø/ɦ.¹¹	plai¹¹ ̈		
3034	l i ⁴⁵	164	1971	lick (v.)	SouthernSgaw	li⁴⁵’	l i ⁴⁵	li⁴⁵’		
3035	m i ⁵⁵	165	1981	lie down, sleep	SouthernSgaw	mi⁵⁵	m i ⁵⁵	mi⁵⁵	sleep	
3036	pʰ.ɣ i ⁵⁵	166	1993	light (~weight)	SouthernSgaw	phɣi⁵⁵	pʰ.ɣ i ⁵⁵	phɣi⁵⁵		
3037	tʰ a ⁵⁵	167	2005	linear measure of about 8-9 inches (a span)	SouthernSgaw	tha⁵⁵	tʰ a ⁵⁵	tha⁵⁵		
3038	p.l a ³¹	168	46	linear measure of about half a yard (closed-hand)	SouthernSgaw	pla³¹	p.l a ³¹	pla³¹	arrow	
3039	t ɨ ³³	169	2025	linear measure of about half a yard (open-hand)	SouthernSgaw	tɨ³³	t ɨ ³³	tɨ³³		
3040	kʰ.l i ⁵⁵	170	2036	linear measure of about two yards	SouthernSgaw	khli⁵⁵	kʰ.l i ⁵⁵	khli⁵⁵		
3041	n a ⁴⁵	171	2046	listen to	SouthernSgaw	na⁴⁵	n a ⁴⁵	na⁴⁵	ear-listen	
3042	ʔ u ⁴⁵	172	2059	live, stay	SouthernSgaw	Ɂu⁴⁵	ʔ u ⁴⁵	Ɂu⁴⁵	live-exist	
3043	s u ⁴⁵	173	2072	liver	SouthernSgaw	su⁴⁵’	s u ⁴⁵	su⁴⁵’		
3044	j !i/ai.Ø/ʔ ɦ.¹¹	174	2098	long (of time)	SouthernSgaw	ji¹¹̈	j !i/ai.Ø/ʔ ɦ.¹¹	ji¹¹ ̈		
3045	tʰ ɔ ⁵⁵	175	2086	long (of length), tall, high	SouthernSgaw	thɔ⁵⁵	tʰ ɔ ⁵⁵	thɔ⁵⁵		
3046	t a ¹¹ + cʰ i ⁵⁵	177	2122 2120	loris	SouthernSgaw	ta¹¹chi⁵⁵	t a ¹¹ + cʰ i ⁵⁵	ta¹¹chi⁵⁵		
3047	cʰ ɔ ⁵⁵ + x a ³¹	178	579 1829	louse (chicken~), insect	SouthernSgaw	chɔ⁵⁵xa³¹	cʰ ɔ ⁵⁵ + x a ³¹	chɔ⁵⁵xa³¹	chicken insect	
3048	s u ⁴⁵	179	2153	louse (head~)	SouthernSgaw	su⁴⁵’	s u ⁴⁵	su⁴⁵’	louse	
3049	s u ⁴⁵	180	2166	lung	SouthernSgaw	su⁴⁵’	s u ⁴⁵	su⁴⁵’		
3050	l !ə/ɨ ⁴⁵	181	2180	maggot	SouthernSgaw	lə⁴⁵’	l !ə/ɨ ⁴⁵	lə⁴⁵’		
3051	pʰ a ⁵⁵	182	2193	male (of animals), father	SouthernSgaw	pha⁵⁵	pʰ a ⁵⁵	pha⁵⁵		
3052	kʰ.w !a/ɔ ⁵⁵	183	2205	man, male	SouthernSgaw	khwa⁵⁵	kʰ.w !a/ɔ ⁵⁵	khwa⁵⁵		
3053	kʰ o.ʔ ²¹	184	2219	mango	SouthernSgaw	khoɁ²¹	kʰ o.ʔ ²¹	khoɁ²¹		
3054	ʔ a ⁵⁵	185	2230	many, much	SouthernSgaw	Ɂa⁵⁵	ʔ a ⁵⁵	Ɂa⁵⁵		
